instance,treewidth,sharpsat,sharpsat_tw,ganak,ganak_tw,c2d,c2d_tw,minic2d,minic2d_tw,d4,dpmc_htb,dpmc_lg,sharpsat_cen
BayesianNetwork/DQMR/qmr-100/or-100-10-7-UC-30.cnf,12,0.13999999999999999,851.32,2.4400000000000004,851.18,1.72,899.7700000000001,1.54,899.66,0.35,0.06,900.12,0.81
BayesianNetwork/DQMR/qmr-100/or-100-10-7-UC-40.cnf,10,0.03,840.9699999999999,2.27,840.89,1.53,900.1600000000001,1.6199999999999999,899.89,0.13,0.06,899.7,0.53
BayesianNetwork/DQMR/qmr-100/or-100-10-7-UC-50.cnf,6,0.02,836.48,2.27,836.3299999999999,1.27,899.8000000000001,1.47,899.4599999999999,0.03,0.05,899.64,0.67
BayesianNetwork/DQMR/qmr-100/or-100-10-7-UC-60.cnf,4,0.02,709.9200000000001,2.54,709.8100000000001,1.45,900.4499999999999,1.54,899.4399999999999,0.03,0.05,899.64,0.6799999999999999
BayesianNetwork/DQMR/qmr-100/or-100-10-8.cnf,42,TO,TO,RTE,TO,MO,RTE,TO,MO,RTE,0.04,899.75,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-8-UC-10.cnf,26,212.55,958.79,449.74,972.9399999999999,433.17,1116.8,TO,1571.24,916.21,0.05,899.75,159.07000000000002
BayesianNetwork/DQMR/qmr-100/or-100-10-8-UC-20.cnf,14,0.7100000000000001,899.85,3.64,899.85,4.65,900.03,12.07,899.77,9.16,0.05,899.65,1.14
BayesianNetwork/DQMR/qmr-100/or-100-10-8-UC-30.cnf,12,0.14,899.74,2.59,899.64,3.04,899.74,18.55,899.6899999999999,1.44,0.06,899.65,0.8799999999999999
BayesianNetwork/DQMR/qmr-100/or-100-10-8-UC-40.cnf,6,0.02,864.0500000000001,2.31,863.8299999999999,1.5,899.77,1.95,899.74,0.05,0.05,899.6700000000001,0.74
BayesianNetwork/DQMR/qmr-100/or-100-10-8-UC-50.cnf,5,0.02,878.1099999999999,2.3000000000000003,878.16,1.77,899.6800000000001,1.73,899.59,0.04,0.06,899.8299999999999,0.62
BayesianNetwork/DQMR/qmr-100/or-100-10-8-UC-60.cnf,4,0.01,841.4499999999999,2.2600000000000002,841.92,1.3,899.68,1.53,899.2199999999999,0.02,0.06,899.7,0.38
BayesianNetwork/DQMR/qmr-100/or-100-10-9.cnf,41,TO,TO,RTE,TO,MO,RTE,TO,MO,TO,0.05,899.8000000000001,TO
BayesianNetwork/DQMR/qmr-100/or-100-10-9-UC-10.cnf,35,TO,2562.6899999999996,RTE,3011.28,MO,MO,TO,MO,TO,0.05,899.6999999999999,3449.5
BayesianNetwork/DQMR/qmr-100/or-100-10-9-UC-20.cnf,21,19.36,904.0,31.34,904.88,74.52,916.81,1230.35,909.46,98.33000000000001,0.05,899.6800000000001,11.3
BayesianNetwork/DQMR/qmr-100/or-100-10-9-UC-30.cnf,15,0.93,899.8499999999999,3.7800000000000002,899.91,7.36,900.36,15.33,899.97,6.18,0.09,899.62,1.13
BayesianNetwork/DQMR/qmr-100/or-100-10-9-UC-40.cnf,14,0.19999999999999998,899.6500000000001,2.98,899.5699999999999,1.94,900.11,3.85,899.9300000000001,0.71,0.1,899.76,0.86
BayesianNetwork/DQMR/qmr-100/or-100-10-9-UC-50.cnf,9,0.03,899.63,2.33,899.4599999999999,1.3499999999999999,899.64,1.63,899.6,0.05,0.07,899.79,0.65
BayesianNetwork/DQMR/qmr-100/or-100-10-9-UC-60.cnf,6,0.02,866.24,2.28,866.1999999999999,1.5499999999999998,899.7,1.46,900.24,0.03,0.08,899.5899999999999,0.67
BayesianNetwork/DQMR/qmr-100/or-100-20-10.cnf,45,TO,TO,RTE,TO,MO,RTE,TO,MO,MO,0.07,899.6099999999999,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-10-UC-10.cnf,33,6746.03,1836.1100000000001,RTE,2075.77,MO,MO,TO,MO,RTE,0.05,899.67,3742.27
BayesianNetwork/DQMR/qmr-100/or-100-20-10-UC-20.cnf,22,41.22,905.81,60.32,907.3199999999999,RTE,919.74,TO,916.0100000000001,62.8,0.06,900.11,15.2
BayesianNetwork/DQMR/qmr-100/or-100-20-10-UC-30.cnf,18,1.83,900.8599999999999,5.24,900.24,19.36,902.0500000000001,7.4,901.64,20.31,0.09,899.7800000000001,1.5899999999999999
BayesianNetwork/DQMR/qmr-100/or-100-20-10-UC-40.cnf,17,0.81,899.94,3.38,900.0100000000001,15.32,900.78,15.92,900.46,4.92,0.21000000000000002,899.77,1.13
BayesianNetwork/DQMR/qmr-100/or-100-20-10-UC-50.cnf,12,0.05,899.7,2.31,899.6800000000001,1.75,899.7900000000001,2.27,899.78,0.31,0.11,899.6500000000001,0.73
BayesianNetwork/DQMR/qmr-100/or-100-20-10-UC-60.cnf,10,0.02,899.5,2.3400000000000003,899.39,1.76,899.8199999999999,1.84,899.45,0.07,0.16,899.71,0.7000000000000001
BayesianNetwork/DQMR/qmr-100/or-100-20-1.cnf,41,TO,TO,RTE,TO,MO,RTE,TO,MO,TO,0.05,899.79,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-1-UC-10.cnf,34,TO,3061.39,RTE,3560.53,MO,MO,TO,MO,TO,0.05,899.7700000000001,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-1-UC-20.cnf,28,519.87,1027.79,710.15,1060.77,RTE,RTE,TO,RTE,1022.75,0.05,899.59,267.86
BayesianNetwork/DQMR/qmr-100/or-100-20-1-UC-30.cnf,27,351.76,1031.8,451.75,1069.9399999999998,MO,1311.03,TO,RTE,2558.54,0.11,899.73,173.43
BayesianNetwork/DQMR/qmr-100/or-100-20-1-UC-40.cnf,13,0.05,899.72,2.3400000000000003,900.01,1.51,899.69,2.06,899.64,0.58,0.16,899.75,0.7000000000000001
BayesianNetwork/DQMR/qmr-100/or-100-20-1-UC-50.cnf,7,0.02,844.1899999999999,2.3899999999999997,844.2199999999999,1.65,899.87,1.57,899.85,0.03,0.16,900.1,0.66
BayesianNetwork/DQMR/qmr-100/or-100-20-1-UC-60.cnf,5,0.01,831.53,2.29,831.53,1.45,899.41,1.61,899.39,0.04,0.14,899.64,0.64
BayesianNetwork/DQMR/qmr-100/or-100-20-2.cnf,44,TO,TO,RTE,TO,RTE,RTE,TO,TO,MO,0.04,899.75,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-2-UC-10.cnf,27,336.95,966.3499999999999,492.48,988.84,RTE,1333.99,TO,RTE,2192.88,0.05,899.6999999999999,411.45
BayesianNetwork/DQMR/qmr-100/or-100-20-2-UC-20.cnf,24,27.3,898.29,38.169999999999995,901.98,350.32,949.2199999999999,3882.35,1118.15,523.3299999999999,0.06,899.59,36.050000000000004
BayesianNetwork/DQMR/qmr-100/or-100-20-2-UC-30.cnf,19,2.88,886.0300000000001,6.34,886.22,18.62,903.58,120.42,903.16,16.32,0.08,899.62,3.2199999999999998
BayesianNetwork/DQMR/qmr-100/or-100-20-2-UC-40.cnf,12,0.04,878.95,2.3200000000000003,878.97,1.85,899.74,3.6500000000000004,899.6700000000001,0.13,0.17,899.8100000000001,0.6900000000000001
BayesianNetwork/DQMR/qmr-100/or-100-20-2-UC-50.cnf,23,9.09,875.5799999999999,15.879999999999999,876.78,54.56,912.2199999999999,152.19,929.89,67.52,0.6399999999999999,899.76,15.91
BayesianNetwork/DQMR/qmr-100/or-100-20-2-UC-60.cnf,21,1.83,870.17,4.7,870.28,17.69,906.5600000000001,88.24000000000001,903.4399999999999,9.14,0.64,899.74,4.3
BayesianNetwork/DQMR/qmr-100/or-100-20-3.cnf,42,TO,TO,RTE,TO,MO,RTE,TO,MO,TO,0.05,899.64,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-3-UC-10.cnf,38,TO,TO,RTE,TO,MO,MO,TO,MO,MO,0.05,899.7,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-3-UC-20.cnf,32,3996.8500000000004,2288.29,RTE,2600.25,MO,RTE,TO,TO,TO,0.05,899.65,3669.16
BayesianNetwork/DQMR/qmr-100/or-100-20-3-UC-30.cnf,23,13.87,904.54,22.93,905.7700000000001,68.81,945.89,157.36,975.0,103.78,0.17,899.75,14.16
BayesianNetwork/DQMR/qmr-100/or-100-20-3-UC-40.cnf,18,1.27,900.17,4.06,900.03,6.16,901.36,6.66,901.06,6.8999999999999995,0.74,899.73,2.1
BayesianNetwork/DQMR/qmr-100/or-100-20-3-UC-50.cnf,5,0.01,832.87,2.2399999999999998,832.99,1.47,899.73,1.5899999999999999,899.55,0.03,0.06,899.7800000000001,0.48
BayesianNetwork/DQMR/qmr-100/or-100-20-3-UC-60.cnf,4,0.02,786.86,2.31,786.84,1.27,899.6,1.44,899.49,0.03,0.07,899.7900000000001,0.66
BayesianNetwork/DQMR/qmr-100/or-100-20-4.cnf,41,TO,TO,RTE,TO,MO,RTE,TO,MO,TO,0.04,900.12,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-4-UC-10.cnf,26,1301.7099999999998,970.06,4275.17,986.93,MO,1152.0,TO,1215.9199999999998,1969.3000000000002,0.06,899.62,634.57
BayesianNetwork/DQMR/qmr-100/or-100-20-4-UC-20.cnf,21,14.12,902.97,26.290000000000003,903.67,277.21,910.54,50.39,912.35,40.36,0.06,899.75,8.77
BayesianNetwork/DQMR/qmr-100/or-100-20-4-UC-30.cnf,24,43.5,905.97,84.71,907.53,582.5699999999999,915.5100000000001,206.68,917.68,155.53,0.06,899.8199999999999,58.510000000000005
BayesianNetwork/DQMR/qmr-100/or-100-20-4-UC-40.cnf,15,0.5700000000000001,883.73,2.95,883.84,4.76,900.4499999999999,5.75,900.01,2.62,0.06,899.81,1.52
BayesianNetwork/DQMR/qmr-100/or-100-20-4-UC-50.cnf,11,0.05,899.61,2.39,899.56,1.81,899.5,1.77,899.4,0.36,0.07,899.74,0.7100000000000001
BayesianNetwork/DQMR/qmr-100/or-100-20-4-UC-60.cnf,10,0.04,899.4399999999999,2.35,899.4899999999999,1.6099999999999999,899.81,1.9,899.64,0.1,0.11,899.75,0.68
BayesianNetwork/DQMR/qmr-100/or-100-20-5.cnf,42,TO,TO,RTE,TO,MO,MO,TO,MO,RTE,0.05,899.76,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-5-UC-10.cnf,30,2720.5499999999997,1241.2199999999998,RTE,1341.0,MO,RTE,TO,RTE,TO,0.05,899.73,4148.91
BayesianNetwork/DQMR/qmr-100/or-100-20-5-UC-20.cnf,25,130.95,916.95,249.9,921.4499999999999,RTE,1034.24,1923.3799999999999,967.0,190.12,0.07,899.6899999999999,142.35
BayesianNetwork/DQMR/qmr-100/or-100-20-5-UC-30.cnf,22,3.01,900.6400000000001,6.1,900.7900000000001,31.1,905.24,149.48999999999998,904.29,7.86,0.05,900.1,7.949999999999999
BayesianNetwork/DQMR/qmr-100/or-100-20-5-UC-40.cnf,12,0.06999999999999999,865.43,2.36,865.26,1.84,899.82,3.1,899.88,0.43,0.05,899.76,0.76
BayesianNetwork/DQMR/qmr-100/or-100-20-5-UC-50.cnf,8,0.02,851.69,2.27,851.5100000000001,1.5399999999999998,899.78,1.57,899.5300000000001,0.09,0.06,899.74,0.95
BayesianNetwork/DQMR/qmr-100/or-100-20-5-UC-60.cnf,6,0.02,862.05,2.29,861.98,1.5499999999999998,899.65,1.51,899.3199999999999,0.04,0.07,899.7299999999999,0.62
BayesianNetwork/DQMR/qmr-100/or-100-20-6.cnf,42,TO,TO,RTE,TO,MO,MO,TO,MO,MO,0.05,899.63,TO
BayesianNetwork/DQMR/qmr-100/or-100-20-6-UC-10.cnf,30,4634.4800000000005,2261.85,RTE,2606.99,MO,RTE,TO,TO,MO,0.05,899.74,3737.0099999999998
BayesianNetwork/DQMR/qmr-100/or-100-20-6-UC-20.cnf,24,54.370000000000005,910.1999999999999,82.92,913.38,106.67,954.5500000000001,102.05,955.12,285.09000000000003,0.09,899.67,31.82
BayesianNetwork/DQMR/qmr-100/or-100-20-6-UC-30.cnf,16,0.46,899.78,2.8600000000000003,899.8299999999999,2.64,900.46,6.48,900.01,10.71,0.14,899.76,1.05
BayesianNetwork/DQMR/qmr-100/or-100-20-6-UC-40.cnf,13,0.12,882.32,2.4400000000000004,882.21,1.9500000000000002,900.08,2.58,900.3199999999999,0.85,0.19,899.73,0.78
BayesianNetwork/DQMR/qmr-100/or-100-20-6-UC-50.cnf,11,0.05,880.33,2.31,880.32,1.68,899.77,1.73,899.69,0.29,0.13999999999999999,899.68,0.7100000000000001
BayesianNetwork/DQMR/qmr-100/or-100-20-6-UC-60.cnf,3,0.02,463.24,2.29,463.24,1.5,900.30,1.54,899.63,0.02,0.07,899.66,0.64
BayesianNetwork/DQMR/qmr-100/or-100-20-7.cnf,42,TO,TO,RTE,TO,MO,RTE,TO,TO,RTE,0.04,899.7600000000001,TO
